City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,kone,-21.0595,164.8658,14.48,79,5,1.63,NC,1722879429
221,uttarkashi,30.7333,78.45,19.48,97,99,0.43,IN,1722879429
222,yibin,28.7667,104.6238,25.71,90,1,0.84,CN,1722879429
223,philadelphia,39.9523,-75.1638,34.47,54,40,4.12,US,1722879429
224,saipan,15.1355,145.701,27.39,89,0,2.06,MP,1722879156
225,san patricio,28.017,-97.5169,33.42,45,0,1.91,US,1722879429
226,keciborlu,37.9425,30.3022,29.2,42,75,3.6,TR,1722879429
227,tyukhtet,56.5389,89.3011,15.63,96,71,1.77,RU,1722879429
228,bonthe,7.5264,-12.505,26.11,81,84,4.63,SL,1722879429
229,marapanim,-0.7175,-47.6997,28.85,65,54,3.45,BR,1722879429
230,labrador city,52.9463,-66.9114,12.95,63,100,7.15,CA,1722878909
231,yaren,-0.5472,166.916,28.69,72,86,5.02,NR,1722879429
232,codajas,-3.8367,-62.0569,38.31,20,73,2.53,BR,1722879429
233,anadyr,64.75,177.4833,2.28,93,75,5.0,RU,1722879429
234,remire-montjoly,4.9167,-52.2667,33.02,62,40,3.6,GF,1722879220
235,la foa,-21.7108,165.8276,15.35,73,6,1.1,NC,1722879430
236,varazdin,46.3044,16.3378,17.75,95,92,2.87,HR,1722879430
237,mahikeng,-25.8652,25.6442,13.99,23,0,2.06,ZA,1722879430
238,buala,-8.145,159.5921,25.37,83,100,6.37,SB,1722879430
239,tumpat,6.1978,102.171,25.99,94,20,2.57,MY,1722879430
240,saudarkrokur,65.7461,-19.6394,12.17,84,91,4.06,IS,1722878864
241,karratha,-20.7377,116.8463,18.4,37,1,3.18,AU,1722879430
242,porto novo,6.4965,2.6036,26.9,79,100,5.18,BJ,1722879430
243,mejit,10.2753,170.8646,28.35,79,100,6.9,MH,1722879430
244,keflavik,64.0049,-22.5624,13.95,94,100,3.09,IS,1722879270
245,snihurivka,47.0758,32.8052,25.5,28,47,4.2,UA,1722879430
246,punta arenas,-53.15,-70.9167,1.06,75,0,5.14,CL,1722879144
247,ancud,-41.8697,-73.8203,8.94,83,100,14.97,CL,1722879430
248,obidos,-1.9175,-55.5181,36.15,27,30,4.23,BR,1722879322
249,hasaki,35.7333,140.8333,26.22,86,11,2.22,JP,1722879431
250,chokwe,-24.5333,32.9833,18.83,78,40,3.99,MZ,1722879431
251,leticia,-4.2153,-69.9406,31.03,70,40,2.57,CO,1722879431
252,dudinka,69.4058,86.1778,8.53,65,0,8.12,RU,1722879431
253,kalilangan,7.8211,124.7314,18.1,95,98,0.65,PH,1722879431
254,fort bragg,35.139,-79.006,30.93,75,40,2.06,US,1722878904
255,puerto armuelles,8.2833,-82.8667,28.99,78,21,1.34,PA,1722879431
256,saldanha,-33.0117,17.9442,13.03,71,7,5.43,ZA,1722879431
257,canutama,-6.5339,-64.3831,39.09,19,4,2.28,BR,1722879431
258,sepuka,-4.75,34.5333,20.18,25,1,3.38,TZ,1722879431
259,college,64.8569,-147.8028,21.2,68,20,2.57,US,1722879303
260,sainte-anne-des-monts,49.124,-66.4924,19.93,64,3,10.29,CA,1722879431
261,kapuskasing,49.4169,-82.4331,20.05,42,75,4.12,CA,1722879431
262,galliano,29.4422,-90.2992,34.44,58,0,2.06,US,1722879431
263,kencong,-8.2833,113.3667,21.11,92,27,1.13,ID,1722879432
264,saint-pierre,-21.3393,55.4781,19.82,77,20,2.06,RE,1722879432
265,puerto princesa,9.7392,118.7353,25.63,84,96,1.42,PH,1722879432
266,kyren,51.6828,102.1408,15.0,92,98,0.78,RU,1722879432
267,molochnoye,59.2917,39.6787,14.75,96,46,3.17,RU,1722879432
268,camamu,-13.9447,-39.1039,25.27,61,16,3.34,BR,1722879432
269,la mira,18.035,-102.3266,29.58,65,99,2.57,MX,1722879432
270,amga,60.8953,131.9608,11.4,96,100,4.41,RU,1722878900
271,mizdah,31.4451,12.9801,32.36,27,0,7.6,LY,1722879432
272,klaksvik,62.2266,-6.589,12.51,87,79,3.78,FO,1722879432
273,ntcheu,-14.8203,34.6359,18.71,35,1,1.66,MW,1722879432
274,chonchi,-42.6128,-73.8092,7.84,97,100,2.21,CL,1722879261
275,bandarbeyla,9.4942,50.8122,24.67,84,77,13.06,SO,1722879432
276,sinabang,2.4803,96.3801,25.76,85,71,1.08,ID,1722879432
277,jolo,6.05,121.0167,25.5,91,70,1.59,PH,1722879432
278,el calafate,-50.3408,-72.2768,0.75,86,76,2.38,AR,1722879212
279,dolores hidalgo cuna de la independencia nacional,21.1561,-100.9308,23.81,37,0,1.96,MX,1722879433
280,canon city,38.441,-105.2424,35.01,22,0,3.09,US,1722879433
281,reggane,26.7158,0.1714,45.18,7,17,3.05,DZ,1722879433
282,delphos,40.8434,-84.3416,30.14,75,55,0.89,US,1722879433
283,tenno,39.9,139.9667,22.93,82,37,2.38,JP,1722879433
284,catumbela,-12.4314,13.5472,20.2,87,100,2.3,AO,1722879433
285,katsuura,35.1333,140.3,24.51,90,35,1.94,JP,1722879433
286,nizao,18.25,-70.2,34.64,58,6,7.16,DO,1722879433
287,alaghsas,17.0187,8.0168,33.94,46,98,6.17,NE,1722879433
288,thunder bay,48.4001,-89.3168,23.99,35,75,3.09,CA,1722878874
289,phuntsholing,26.8516,89.3884,25.65,91,85,1.11,BT,1722879433
290,sidi khaled,34.387,4.9879,37.37,17,0,3.94,DZ,1722879433
291,sarupathar,26.1984,93.8094,25.93,88,100,0.69,IN,1722879433
292,st. john's,47.5649,-52.7093,22.93,89,100,10.29,CA,1722879433
293,necochea,-38.5473,-58.7368,15.25,45,96,5.08,AR,1722879302
294,guanica,17.9716,-66.908,33.35,73,8,9.94,PR,1722879433
295,zhangjiakou,40.81,114.8794,21.71,55,0,2.02,CN,1722879434
296,hornell,42.3279,-77.6611,29.65,67,88,1.34,US,1722879434
297,igarka,67.4667,86.5833,9.1,69,63,5.75,RU,1722879434
298,sandnessjoen,66.0217,12.6316,24.29,60,0,4.63,NO,1722879434
299,lihue,21.9789,-159.3672,25.76,79,0,5.14,US,1722879434
300,russellville,35.2784,-93.1338,33.88,49,0,1.54,US,1722879134
301,northam,51.0333,-4.2167,21.88,83,84,6.94,GB,1722878892
302,jincheng,35.5022,112.8328,24.18,82,2,0.57,CN,1722879434
303,mata-utu,-13.2816,-176.1745,26.39,73,5,4.52,WF,1722879434
304,alofi,-19.0595,-169.9187,20.94,100,75,1.54,NU,1722878913
305,olyokminsk,60.3736,120.4264,11.57,97,96,1.51,RU,1722879434
306,vorgashor,67.5833,63.95,8.72,65,11,4.45,RU,1722878911
307,divnomorskoye,44.5011,38.1353,22.43,83,16,2.24,RU,1722879434
308,aykhal,66.0,111.5,6.67,85,12,7.47,RU,1722879412
309,pingliang,35.5392,106.6861,20.99,89,1,1.74,CN,1722879434
310,gulf breeze,30.3571,-87.1639,34.01,62,0,6.69,US,1722879276
311,jinchang,38.4953,102.1739,28.2,29,100,4.22,CN,1722879434
312,santa elena de uairen,4.6167,-61.1333,25.72,60,36,4.98,VE,1722879435
313,dhoro naro,25.5,69.5667,29.27,73,100,4.39,PK,1722879435
314,porto belo,-27.1578,-48.5531,24.53,91,46,3.51,BR,1722879435
315,ulladulla,-35.35,150.4667,2.65,78,40,3.4,AU,1722879435
316,alice springs,-23.7,133.8833,4.75,87,0,2.57,AU,1722879435
317,broome,42.2506,-75.833,30.11,55,20,6.69,US,1722879435
318,cerkezkoy,41.285,28.0003,23.1,68,0,4.12,TR,1722879435
319,ar ruseris,11.8659,34.3869,21.44,96,100,2.75,SD,1722879435
320,pacocha,-17.5833,-71.3333,17.08,72,75,4.12,PE,1722879435
321,aripuana,-9.1667,-60.6333,37.56,17,0,2.23,BR,1722879435
322,mil'kovo,55.6078,37.7956,22.39,61,79,2.67,RU,1722879262
323,east setauket,40.9415,-73.1059,31.45,54,20,5.66,US,1722879435
324,chizhou,30.6578,117.4831,25.75,68,100,1.33,CN,1722879435
325,sakti,22.0333,82.9667,26.8,85,100,3.23,IN,1722879435
326,palmer,42.1584,-72.3287,31.64,53,20,2.06,US,1722879435
327,tommot,58.9564,126.2925,14.09,97,100,1.69,RU,1722879436
328,heinola,61.2056,26.0381,19.44,72,100,1.57,FI,1722879436
329,rio grande,-32.035,-52.0986,18.06,93,93,5.9,BR,1722879436
330,stung treng,13.5259,105.9683,24.08,96,15,1.2,KH,1722879436
331,guiratinga,-16.3494,-53.7583,33.07,16,0,3.23,BR,1722879436
332,island harbour,50.724,-1.2758,22.9,69,4,1.34,GB,1722878945
333,zunyi,27.6867,106.9072,22.3,93,40,1.13,CN,1722879436
334,mana,5.6592,-53.7767,30.55,60,5,5.61,GF,1722879436
335,el porvenir,13.7617,-87.3458,30.63,49,48,1.66,HN,1722879436
336,avarua,-21.2078,-159.775,24.03,78,40,4.12,CK,1722879436
337,belize city,17.4995,-88.1976,32.01,72,40,3.6,BZ,1722879436
338,steinbach,50.1667,8.5667,25.85,47,0,2.57,DE,1722879436
339,cooper's town,26.8667,-77.5167,29.04,78,100,8.6,BS,1722879436
340,gbarnga,6.9956,-9.4722,23.74,93,82,2.12,LR,1722879437
341,esmeraldas,-19.7625,-44.3139,26.48,28,29,4.63,BR,1722879158
342,az zubayr,30.3945,47.7011,37.92,12,0,1.03,IQ,1722879437
343,hutang,31.5333,119.4833,27.48,81,96,0.67,CN,1722879437
344,krasnyye barrikady,46.2045,47.8535,27.98,54,20,3.0,RU,1722879437
345,monkey bay,-14.0728,34.9201,24.26,61,1,3.16,MW,1722879437
346,new norfolk,-42.7826,147.0587,9.95,80,100,2.27,AU,1722879348
347,fernley,39.608,-119.2518,33.33,14,2,2.64,US,1722879438
348,port saint john's,-31.6229,29.5448,14.17,67,0,1.78,ZA,1722879253
349,korla,41.7597,86.1469,29.43,34,70,3.56,CN,1722879256
350,pangai,-19.8,-174.35,22.06,64,20,4.63,TO,1722879438
351,mineiros,-17.5694,-52.5511,30.73,19,0,3.51,BR,1722879438
352,tagab,34.855,69.6492,26.01,52,0,0.78,AF,1722879438
353,tsiombe,-25.3,45.4833,18.84,80,19,2.04,MG,1722878946
354,wladyslawowo,54.7909,18.4009,20.26,86,63,4.26,PL,1722879438
355,san antonio de pale,-1.4014,5.6325,22.38,72,96,4.25,GQ,1722879254
356,la passe,45.5549,-0.8967,28.34,66,0,5.2,FR,1722879439
357,fortuna,40.5982,-124.1573,14.43,97,75,3.6,US,1722879439
358,puerto francisco de orellana,-0.4667,-76.9667,30.03,66,75,1.54,EC,1722879439
359,selfoss,63.9331,-20.9971,13.36,89,100,1.97,IS,1722878888
360,kardla,58.9978,22.7492,20.59,83,0,2.53,EE,1722879440
361,mahina,-17.5065,-149.489,23.87,69,20,3.09,PF,1722879440
362,panaba,21.2833,-88.2667,34.31,51,34,1.45,MX,1722879440
363,labytnangi,66.6572,66.4183,9.16,61,83,5.34,RU,1722879440
